,arrival_date_month,hotel,total_reservations,cancellations,cancellation_rate
0,1,City Hotel,2188,600,0.2742230347349177
1,1,Resort Hotel,1620,223,0.13765432098765432
2,2,City Hotel,2995,812,0.27111853088480803
3,2,Resort Hotel,2070,392,0.18937198067632852
4,3,City Hotel,4001,1100,0.2749312671832042
5,3,Resort Hotel,2101,358,0.1703950499762018
6,4,City Hotel,4252,1462,0.3438381937911571
7,4,Resort Hotel,2142,520,0.24276377217553688
8,5,City Hotel,4573,1448,0.31664115460310516
9,5,Resort Hotel,2306,558,0.2419774501300954
10,6,City Hotel,4127,1257,0.3045795977707778
11,6,Resort Hotel,2103,686,0.3262006657156443
12,7,City Hotel,4749,1628,0.3428090124236681
13,7,Resort Hotel,2829,907,0.32060798868858253
14,8,City Hotel,5431,1720,0.31670042349475236
15,8,Resort Hotel,2711,965,0.35595721136112135
16,9,City Hotel,3374,823,0.24392412566686425
17,9,Resort Hotel,1721,426,0.2475305055200465
18,10,City Hotel,3370,895,0.2655786350148368
19,10,Resort Hotel,1997,371,0.18577866800200302
20,11,City Hotel,2431,609,0.2505141916906623
21,11,Resort Hotel,1630,253,0.15521472392638036
22,12,City Hotel,2283,713,0.3123083661848445
23,12,Resort Hotel,1435,279,0.19442508710801393
