iter	Logloss
0	0.6597312635
1	0.6339377438
2	0.6133628838
3	0.596342072
4	0.5821858437
5	0.5585097134
6	0.5491892876
7	0.5418216466
8	0.5343638981
9	0.5280161302
10	0.5231671802
11	0.5185845401
12	0.5150066707
13	0.510801031
14	0.5056768628
15	0.5010376166
16	0.4970283861
17	0.4939413394
18	0.488495191
19	0.486580959
20	0.4826895836
21	0.4805975081
22	0.4734836613
23	0.4716255616
24	0.462271762
25	0.4609403914
26	0.4592293633
27	0.4566985141
28	0.4552056395
29	0.4461650554
30	0.4414713575
31	0.4391864702
32	0.4380868337
33	0.4344534943
34	0.431605108
35	0.4304997284
36	0.4288980717
37	0.4267225467
38	0.4258646607
39	0.4224280788
40	0.4216927181
41	0.4209803294
42	0.4200649468
43	0.4170272258
44	0.4163723302
45	0.4141354192
46	0.4125069016
47	0.4116029694
48	0.4075810163
49	0.4069870813
50	0.4053990716
51	0.404412223
52	0.4039177828
53	0.4031775746
54	0.4025815162
55	0.4003975428
56	0.3991801058
57	0.3971592683
58	0.3965140753
59	0.3961049418
60	0.395667163
61	0.3950838993
62	0.3936160943
63	0.3932366581
64	0.3922210423
65	0.3917156393
66	0.3840290552
67	0.3779947517
68	0.3767071309
69	0.3755035583
70	0.3751572276
71	0.3747692573
72	0.3742090123
73	0.3730848131
74	0.3689063963
75	0.3685798103
76	0.3677298009
77	0.3673980439
78	0.3671589574
79	0.3670043679
80	0.3628392261
81	0.3625826647
82	0.3622851751
83	0.3583808821
84	0.3580611049
85	0.3553047651
86	0.355120121
87	0.3544950592
88	0.3541517888
89	0.3537919784
90	0.3530813254
91	0.3509563816
92	0.3507634312
93	0.3504725801
94	0.3503076991
95	0.3501730311
96	0.3486647881
97	0.3484266952
98	0.3472866422
99	0.3469429659
