iter	Passed	Remaining
0	41	4077
1	70	3456
2	96	3110
3	128	3088
4	157	3001
5	187	2935
6	221	2944
7	253	2915
8	294	2980
9	324	2920
10	356	2888
11	383	2809
12	411	2751
13	440	2706
14	470	2664
15	497	2611
16	527	2574
17	556	2533
18	583	2488
19	612	2448
20	638	2403
21	667	2366
22	698	2339
23	726	2301
24	755	2265
25	787	2241
26	821	2222
27	854	2197
28	884	2164
29	918	2142
30	963	2145
31	1015	2158
32	1054	2140
33	1097	2130
34	1140	2117
35	1180	2099
36	1227	2089
37	1260	2055
38	1290	2018
39	1318	1977
40	1345	1935
41	1374	1897
42	1397	1853
43	1429	1819
44	1462	1787
45	1500	1761
46	1530	1726
47	1565	1696
48	1601	1667
49	1635	1635
50	1674	1609
51	1718	1586
52	1754	1556
53	1785	1521
54	1813	1483
55	1841	1447
56	1871	1411
57	1902	1377
58	2018	1402
59	2073	1382
60	2121	1356
61	2158	1322
62	2202	1293
63	2251	1266
64	2303	1240
65	2335	1202
66	2373	1169
67	2408	1133
68	2438	1095
69	2470	1058
70	2497	1020
71	2526	982
72	2558	946
73	2587	909
74	2627	875
75	2670	843
76	2715	811
77	2761	778
78	2811	747
79	2845	711
80	2893	678
81	2931	643
82	2967	607
83	3006	572
84	3041	536
85	3086	502
86	3124	466
87	3156	430
88	3188	394
89	3216	357
90	3250	321
91	3284	285
92	3311	249
93	3343	213
94	3375	177
95	3405	141
96	3437	106
97	3464	70
98	3506	35
99	3534	0
